                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                0.73276,                0.48954,                0.90637,                 0.8357,                0.87426,                0.87209,                0.44578,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                    132,                0.71023,                0.47091,                0.90558,                0.84074,                0.84375,                0.84524,                0.44158,                      0,                    inf,                      0,              0.0035155,              0.0035155,              0.0035155
                    133,                0.71533,                0.46193,                0.90183,                0.88612,                0.85109,                0.83931,                0.40909,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                    134,                0.74026,                0.48969,                0.90666,                0.90864,                0.82812,                0.88086,                0.43934,                      0,                    inf,                      0,              0.0034165,              0.0034165,              0.0034165
                    135,                0.72643,                0.49396,                0.89551,                0.91226,                0.82812,                0.86535,                0.43482,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                    136,                0.78232,                 0.5015,                 0.9597,                 0.8568,                0.84139,                 0.8485,                0.43888,                      0,                    inf,                      0,              0.0033175,              0.0033175,              0.0033175
                    137,                0.78489,                0.49601,                0.90928,                0.84437,                0.78125,                0.79044,                0.44926,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                    138,                0.70251,                0.46471,                0.92161,                0.88317,                 0.8268,                0.85436,                0.45173,                      0,                    inf,                      0,              0.0032185,              0.0032185,              0.0032185
                    139,                0.69186,                0.45595,                 0.9027,                0.83306,                0.82812,                0.84967,                0.45262,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                    140,                0.70642,                0.46058,                0.91078,                0.83538,                0.79296,                0.82137,                0.44503,                      0,                    inf,                      0,              0.0031195,              0.0031195,              0.0031195
                    141,                0.70486,                0.45301,                0.91105,                0.85578,                0.79688,                 0.8048,                 0.4379,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                    142,                0.69451,                0.43721,                0.90899,                0.87471,                0.76366,                0.83254,                0.45923,                      0,                    inf,                      0,              0.0030205,              0.0030205,              0.0030205
                    143,                0.66117,                0.44565,                0.90515,                0.87466,                0.76328,                0.82348,                0.45837,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                    144,                0.68928,                0.46381,                0.89547,                0.85531,                0.76562,                0.81936,                0.46126,                      0,                    inf,                      0,              0.0029215,              0.0029215,              0.0029215
                    145,                0.72073,                0.46803,                0.92038,                0.88155,                0.84375,                 0.8661,                0.45686,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                    146,                0.66236,                 0.4369,                0.88394,                0.88649,                0.85938,                0.88588,                0.46658,                      0,                    inf,                      0,              0.0028225,              0.0028225,              0.0028225
                    147,                0.64631,                0.44779,                0.88271,                 0.8985,                0.82996,                0.89002,                0.48172,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                    148,                0.64036,                0.43689,                0.87375,                0.86726,                0.84375,                0.89447,                0.46328,                      0,                    inf,                      0,              0.0027235,              0.0027235,              0.0027235
                    149,                0.66222,                0.43853,                0.86836,                0.91521,                0.84325,                0.87838,                0.47731,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                    150,                0.62882,                0.43291,                0.87866,                 0.8812,                0.85938,                0.86843,                0.48304,                      0,                    inf,                      0,              0.0026245,              0.0026245,              0.0026245
                    151,                0.67553,                0.45516,                0.90997,                0.88677,                0.85659,                0.86835,                0.47793,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                    152,                 0.6439,                0.43095,                0.88035,                0.88392,                 0.8125,                0.87795,                0.47315,                      0,                    inf,                      0,              0.0025255,              0.0025255,              0.0025255
                    153,                0.65095,                0.43818,                0.88739,                0.84797,                0.85938,                0.87376,                0.47476,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                    154,                0.64488,                0.43811,                0.88444,                 0.8653,                 0.8125,                0.86622,                0.47474,                      0,                    inf,                      0,              0.0024265,              0.0024265,              0.0024265
                    155,                0.65331,                0.43628,                0.87853,                0.88679,                0.82812,                0.87584,                0.46475,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                    156,                0.62798,                0.43214,                 0.8786,                0.88509,                 0.8125,                0.85348,                0.45307,                      0,                    inf,                      0,              0.0023275,              0.0023275,              0.0023275
